,Datetime,Open,High,Low,Close,Volume
0,2022-02-22T09:15:00,16847.95,16938.75,16847.95,16921.5,0
1,2022-02-22T09:16:00,16920.05,16938.65,16920.05,16936.35,0
2,2022-02-22T09:17:00,16936.15,16973.3,16936.15,16968.05,0
3,2022-02-22T09:18:00,16964.9,16964.9,16933.8,16938.2,0
4,2022-02-22T09:19:00,16937.15,16937.15,16915.25,16917.25,0
5,2022-02-22T09:20:00,16917.35,16919.65,16899.7,16905.0,0
6,2022-02-22T09:21:00,16905.8,16948.4,16904.1,16935.1,0
7,2022-02-22T09:22:00,16935.1,16937.55,16921.5,16930.3,0
8,2022-02-22T09:23:00,16931.25,16935.6,16917.05,16935.6,0
9,2022-02-22T09:24:00,16935.55,16935.65,16917.6,16921.65,0
10,2022-02-22T09:25:00,16919.65,16932.3,16908.85,16927.5,0
11,2022-02-22T09:26:00,16923.0,16932.6,16921.25,16923.35,0
12,2022-02-22T09:27:00,16925.15,16935.8,16912.2,16935.1,0
13,2022-02-22T09:28:00,16933.15,16935.6,16921.55,16928.8,0
14,2022-02-22T09:29:00,16929.9,16929.9,16917.3,16918.45,0
15,2022-02-22T09:30:00,16918.2,16937.35,16906.0,16932.35,0
16,2022-02-22T09:31:00,16932.9,16950.25,16926.9,16946.45,0
17,2022-02-22T09:32:00,16947.0,16957.0,16947.0,16951.05,0
18,2022-02-22T09:33:00,16951.6,16951.6,16939.95,16940.8,0
19,2022-02-22T09:34:00,16941.0,16941.0,16926.35,16929.45,0
20,2022-02-22T09:35:00,16929.25,16931.1,16921.75,16922.5,0
21,2022-02-22T09:36:00,16925.2,16927.75,16914.9,16920.15,0
22,2022-02-22T09:37:00,16919.6,16922.35,16915.0,16916.2,0
23,2022-02-22T09:38:00,16916.85,16916.85,16882.7,16882.7,0
24,2022-02-22T09:39:00,16882.55,16889.9,16873.65,16877.1,0
25,2022-02-22T09:40:00,16873.75,16879.75,16868.0,16875.3,0
26,2022-02-22T09:41:00,16874.85,16876.6,16870.9,16872.2,0
27,2022-02-22T09:42:00,16872.1,16872.25,16861.1,16870.0,0
28,2022-02-22T09:43:00,16868.95,16885.2,16867.05,16876.55,0
29,2022-02-22T09:44:00,16876.05,16876.45,16867.35,16874.5,0
30,2022-02-22T09:45:00,16872.75,16872.75,16860.85,16867.6,0
31,2022-02-22T09:46:00,16870.4,16895.3,16870.4,16889.05,0
32,2022-02-22T09:47:00,16889.9,16890.7,16878.7,16879.3,0
33,2022-02-22T09:48:00,16880.35,16886.1,16876.5,16882.9,0
34,2022-02-22T09:49:00,16883.8,16884.35,16877.25,16884.35,0
35,2022-02-22T09:50:00,16884.3,16897.7,16884.3,16892.95,0
36,2022-02-22T09:51:00,16892.1,16895.75,16884.3,16893.4,0
37,2022-02-22T09:52:00,16894.75,16908.55,16894.15,16907.2,0
38,2022-02-22T09:53:00,16908.0,16915.35,16907.1,16907.9,0
